"Note:  All resistors and capacitors are 0805 size, unless otherwise noted"				
				
Legend	Part Number/Description	Notes	Count	Potential Source
RJHS	RJHSE-5084		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RJHSE-5084-ND
U$1	PE-65745		1	http://www.mouser.com/Search/ProductDetail.aspx?qs=sGAEpiMZZMv0IfuNuy2LUcB4YEhWrvAcPT5dCeo25Ks%3d
IC1	CS8900A-CQZ	"-IQZ will also work, but tends to be more expensive"	1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=598-1128-ND
IC2	32 pin IC low profile IC socket		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=3M5470-ND
IC3	74hct86		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=568-2912-5-ND
IC4	74hct10		1	http://www.mouser.com/Search/ProductDetail.aspx?qs=sGAEpiMZZMutXGli8Ay4kPY7h%2fWOYaMA1KDA1I3ES38%3d
IC5	74hct85		1	http://www.mouser.com/Search/ProductDetail.aspx?qs=sGAEpiMZZMuS%2fmO2LfY7hiT3FSdc%2fFyfeNuvmSnCGt0%3d
C3	68pF NP0 5%		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=311-1109-1-ND
C4	10uF	"Y5V or better, tolerance not critical"	1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=587-1312-1-ND
"C1,C2,C5,C6,C7,C8"	.1uF 10V 10%	25V 10% gave best price	4	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=399-1168-1-ND
R1	4.7K 5%	1% gave the best price here	1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM4.70KCRCT-ND
R2	4.99K 1%		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM4.99KCRCT-ND
R3	100 1% 1/8W		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM100CRCT-ND
"R4,R5"	24.9 1% 1/8W		2	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM24.9CRCT-ND
"R6,R7"	680 5% 1/8W		2	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM680ARCT-ND
"R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19"	10K 5% 		12	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=RHM10KARCT-ND
JP1	2x4 header		1	
S1	1x3 header		1	
S4	1x3 header		1	
S5	SPST NO Right Angle Tactile		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=P10880S-ND
LED1	T-1 2mA(max) green	Would be nice to have more mcd rating if possible	1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=475-1402-ND
LED2	T-1 2ma(max) red		1	http://search.digikey.com/scripts/DkSearch/dksus.dll?Detail&name=754-1246-ND
Q1	20MHz 18pF HC49/US		1	http://www.mouser.com/Search/ProductDetail.aspx?qs=sGAEpiMZZMtg8rPr%252bGIKJmkxQqIPZPL82NQgU13q%2feg%3d
PCB			1	
				
Total				
